id,title,description,document_type,file_url,source,source_id,doi,publication_date,created_at
1,"Climate and atmospheric history of the past 420,000 years from the Vostok ice core, Antarctica","",Research Paper,https://doi.org/10.1038/20859,OpenAlex,https://openalex.org/W2161480748,https://doi.org/10.1038/20859,1999-06-01,2026-09-18 05:51:34.501816
2,Large losses of total ozone in Antarctica reveal seasonal ClOx/NOx interaction,"",Research Paper,https://doi.org/10.1038/315207a0,OpenAlex,https://openalex.org/W2055698954,https://doi.org/10.1038/315207a0,1985-05-01,2026-09-18 05:51:34.501841
3,Contribution of Antarctica to past and future sea-level rise,"",Research Paper,https://doi.org/10.1038/nature17145,OpenAlex,https://openalex.org/W2320249130,https://doi.org/10.1038/nature17145,2016-03-29,2026-09-18 05:51:34.501844
4,Ice-Shelf Melting Around Antarctica,"We compare the volume flux divergence of Antarctic ice shelves in 2007 and 2008 with 1979 to 2010 surface accumulation and 2003 to 2008 thinning to determine their rates of melting and mass balance. Basal melt of 1325 ± 235 gigatons per year (Gt/year) exceeds a calving flux of 1089 ± 139 Gt/year, making ice-shelf melting the largest ablation process in Antarctica. The giant cold-cavity Ross, Filchner, and Ronne ice shelves covering two-thirds of the total ice-shelf area account for only 15% of net melting. Half of the meltwater comes from 10 small, warm-cavity Southeast Pacific ice shelves occupying 8% of the area. A similar high melt/area ratio is found for six East Antarctic ice shelves, implying undocumented strong ocean thermal forcing on their deep grounding lines.",Research Paper,https://doi.org/10.1126/science.1235798,OpenAlex,https://openalex.org/W2003371436,https://doi.org/10.1126/science.1235798,2013-06-14,2026-09-18 05:51:34.501845
5,"Bedmap2: improved ice bed, surface and thickness datasets for Antarctica","Abstract. We present Bedmap2, a new suite of gridded products describing surface elevation, ice-thickness and the seafloor and subglacial bed elevation of the Antarctic south of 60° S. We derived these products using data from a variety of sources, including many substantial surveys completed since the original Bedmap compilation (Bedmap1) in 2001. In particular, the Bedmap2 ice thickness grid is made from 25 million measurements, over two orders of magnitude more than were used in Bedmap1. In most parts of Antarctica the subglacial landscape is visible in much greater detail than was previously available and the improved data-coverage has in many areas revealed the full scale of mountain ranges, valleys, basins and troughs, only fragments of which were previously indicated in local surveys. The derived statistics for Bedmap2 show that the volume of ice contained in the Antarctic ice sheet (27 million km3) and its potential contribution to sea-level rise (58 m) are similar to those of Bedmap1, but the mean thickness of the ice sheet is 4.6% greater, the mean depth of the bed beneath the grounded ice sheet is 72 m lower and the area of ice sheet grounded on bed below sea level is increased by 10%. The Bedmap2 compilation highlights several areas beneath the ice sheet where the bed elevation is substantially lower than the deepest bed indicated by Bedmap1. These products, along with grids of data coverage and uncertainty, provide new opportunities for detailed modelling of the past and future evolution of the Antarctic ice sheets.",Research Paper,https://doi.org/10.5194/tc-7-375-2013,OpenAlex,https://openalex.org/W2102213705,https://doi.org/10.5194/tc-7-375-2013,2013-02-28,2026-09-18 05:51:34.501847
6,One-to-one coupling of glacial climate variability in Greenland and Antarctica,"",Research Paper,https://doi.org/10.1038/nature05301,OpenAlex,https://openalex.org/W2076850342,https://doi.org/10.1038/nature05301,2006-11-01,2026-09-18 05:51:34.501849
7,Rapid Cenozoic glaciation of Antarctica induced by declining atmospheric CO2,"",Research Paper,https://doi.org/10.1038/nature01290,OpenAlex,https://openalex.org/W2025865560,https://doi.org/10.1038/nature01290,2003-01-01,2026-09-18 05:51:34.50185
8,Geological evolution of Antarctica,"",Research Paper,https://doi.org/10.1016/0025-3227(92)90061-l,OpenAlex,https://openalex.org/W2921344150,https://doi.org/10.1016/0025-3227(92)90061-l,1992-04-01,2026-09-18 05:51:34.50193
9,The Reference Elevation Model of Antarctica,"The Reference Elevation Model of Antarctica (REMA) is the first continental-scale digital elevation model (DEM) at a resolution of less than 10 m. REMA is created from stereophotogrammetry with submeter resolution optical, commercial satellite imagery. The higher spatial and radiometric resolutions of this imagery enable high-quality surface extraction over the low-contrast ice sheet surface. The DEMs are registered to satellite radar and laser altimetry and are mosaicked to provide a continuous surface covering nearly 95 % the entire continent. The mosaic includes an error estimate and a time stamp, enabling change measurement. Typical elevation errors are less than 1 m, as validated by the comparison to airborne laser altimetry. REMA provides a powerful new resource for Antarctic science and provides a proof of concept for generating accurate high-resolution repeat topography at continental scales.",Research Paper,https://doi.org/10.5194/tc-13-665-2019,OpenAlex,https://openalex.org/W2900689731,https://doi.org/10.5194/tc-13-665-2019,2019-02-26,2026-09-18 05:51:34.501931
10,Timing of Millennial-Scale Climate Change in Antarctica and Greenland During the Last Glacial Period,"A precise relative chronology for Greenland and West Antarctic paleotemperature is extended to 90,000 years ago, based on correlation of atmospheric methane records from the Greenland Ice Sheet Project 2 and Byrd ice cores. Over this period, the onset of seven major millennial-scale warmings in Antarctica preceded the onset of Greenland warmings by 1500 to 3000 years. In general, Antarctic temperatures increased gradually while Greenland temperatures were decreasing or constant, and the termination of Antarctic warming was apparently coincident with the onset of rapid warming in Greenland. This pattern provides further evidence for the operation of a ""bipolar see-saw"" in air temperatures and an oceanic teleconnection between the hemispheres on millennial time scales.",Research Paper,https://doi.org/10.1126/science.291.5501.109,OpenAlex,https://openalex.org/W2099667979,https://doi.org/10.1126/science.291.5501.109,2001-01-05,2026-09-18 05:51:34.501933
11,Antarctica — Before and after Gondwana,"",Research Paper,https://doi.org/10.1016/j.gr.2010.09.003,OpenAlex,https://openalex.org/W1968729709,https://doi.org/10.1016/j.gr.2010.09.003,2010-09-22,2026-09-18 05:51:34.501934
12,BEDMAP: A new ice thickness and subglacial topographic model of Antarctica,"Measurements of ice thickness on the Antarctic ice sheet collected during surveys undertaken over the past 50 years have been brought together into a single database. From these data, a seamless suite of digital topographic models have been compiled for Antarctica and its surrounding ocean. This includes grids of ice sheet thickness over the grounded ice sheet and ice shelves, water column thickness beneath the floating ice shelves, bed elevation beneath the grounded ice sheet, and bathymetry to 60°S, including the sub‐ice‐shelf cavities. These grids are consistent with a recent high‐resolution surface elevation model of Antarctica. While the digital models have a nominal spatial resolution of 5 km, such high resolution is justified by the original data density only over a few parts of the ice sheet. The suite does, however, provide an unparalleled vision of the geosphere beneath the ice sheet and a more reliable basis for ice sheet modeling than earlier maps. The total volume of the Antarctic ice sheet calculated from the BEDMAP grid is 25.4 million km3, and the total sea level equivalent, derived from the amount of ice contained within the grounded ice sheet, is 57 m, comprising 52 m from the East Antarctic ice sheet and 5 m from the West Antarctic ice sheet, slightly less than earlier estimates. The gridded data sets can be obtained from the authors.",Research Paper,https://doi.org/10.1029/2000jb900449,OpenAlex,https://openalex.org/W1964467133,https://doi.org/10.1029/2000jb900449,2001-06-10,2026-09-18 05:51:34.501935
13,"Bacterioplankton Secondary Production Estimates for Coastal Waters of British Columbia, Antarctica, and California","The principal objective of this study was to quantify the rate of heterotrophic bacterioplankton production. Production was estimated by two approaches: (i) measurement of increasing bacterial abundance with time in filtered (3-mum pore size) seawater and (ii) estimation of bacterial deoxyribonucleic acid synthesis by tritiated thymidine incorporation in unfractionated seawater. The two approaches yielded comparable results when used at the Controlled Ecosystem Population Experiment (Saanich Inlet, British Columbia, Canada), at McMurdo Sound (Antarctica), and off Scripps Pier (La Jolla, Calif.). Estimated bacterioplankton production was lower in Antarctic samples (ranging from approximately 0 to 2.9 mug of C liter day) than in those from the other two sites (ranging from 0.7 to 71 mug of C liter day). In all three regions studied, it appeared that a significant fraction of the total primary production was utilized by the bacterioplankton and that substantial growth could occur in the absence of large particles. These results support the conclusion that bacterioplankton are a quantitatively important component of coastal marine food webs.",Research Paper,https://doi.org/10.1128/aem.39.6.1085-1095.1980,OpenAlex,https://openalex.org/W1551657140,https://doi.org/10.1128/aem.39.6.1085-1095.1980,1980-06-01,2026-09-18 05:51:34.501937
14,"Biological Accommodation in the Benthic Community at McMurdo Sound, Antarctica","Studies of the benthos between 30 and 60 m at Cape Armitage, McMurdo Sound. Antarctica, reveal an epifaunal community in which sponges and their asteroid and nudibranch predators predominate. Field experiments demonstrated that, with the exception of Mycale accrata, the growth rates of the sponges are too slow to measure in one year. Mycale, however, was observed to increase its mass as much as 67%. Because of its more rapid growth rate, Mycale appears to be the potential dominant in competition for substratum space, the resource potentially limiting to the sessile species. This conclusion is supported by observations of Mycale growing over and, in some cases, apparently having smothered many other sessile species representing at least three phyla. The densities and size frequency distributions of all the predators were measured; numerous feeding observations allowed an accurate appraisal of dietary compositions. Because of the predators' very slow consumption rates, however, direct measures of ingestion and its impact on prey populations were not possible. Estimates of the ingestion rates were derived from measurements of predator respiration rates, growth rates, and gonad growth. Data from the field surveys and the energetics studies suggest that Mycale is prevented from dominating the space resource by the predation of two asteroids. Perknaster fuscus antarcticus and Acodontaster conspicuus. Adult Perknaster specialize on Mycale, and the sponge provides a small proportion of the diet of A. conspicuus. Acodontaster conspicuus and the dorid nudibranch Austrodoris memurdensis are the most important predators on three species of rossellid sponges (Rossella racovitzae, R. nuda, and Scolymastra joubini). Despite this relatively heavy consumption and despite the fact that none of these sponges has a refuge in growth from potential mortality from A. conspicuus, very large standing crops of the rossellid sponges have accumulated. This accumulation appears to result from predation on larval and young A. conspicuus and Austrodoris by Odontaster validus, which is primarily a detrital feeder and apparently acts as a filter against the settlement and survival of the A. conspicuus and Austrodoris larvae. In addition, predation upon adult A. conspicuus by O. validus and the actinian urticinopsis antarcticus annually kills approximately 3.5% of the A. conspicuus population. This mortality exceeds the apparent rate at which A. conspicuus escape the larval filter.",Research Paper,https://doi.org/10.2307/1942321,OpenAlex,https://openalex.org/W2091777825,https://doi.org/10.2307/1942321,1974-01-01,2026-09-18 05:51:34.501938
15,"Antarctica: Soils, Weathering Processes and Environment","",Research Paper,https://doi.org/10.1016/s0166-2481(08)x7010-2,OpenAlex,https://openalex.org/W1596673349,https://doi.org/10.1016/s0166-2481(08)x7010-2,1987-01-01,2026-09-18 05:51:34.50194
16,Pacific margins of Laurentia and East Antarctica-Australia as a conjugate rift pair: Evidence and implications for an Eocambrian supercontinent,"Research Article| June 01, 1991 Pacific margins of Laurentia and East Antarctica-Australia as a conjugate rift pair: Evidence and implications for an Eocambrian supercontinent Ian W.D. Dalziel Ian W.D. Dalziel 1Institute for Geophysics, University of Texas, 8701 Mopac Boulevard, Austin, Texas 78759 Search for other works by this author on: GSW Google Scholar Author and Article Information Ian W.D. Dalziel 1Institute for Geophysics, University of Texas, 8701 Mopac Boulevard, Austin, Texas 78759 Publisher: Geological Society of America First Online: 02 Jun 2017 Online ISSN: 1943-2682 Print ISSN: 0091-7613 Geological Society of America Geology (1991) 19 (6): 598–601. https://doi.org/10.1130/0091-7613(1991)019<0598:PMOLAE>2.3.CO;2 Article history First Online: 02 Jun 2017 Cite View This Citation Add to Citation Manager Share Icon Share Facebook Twitter LinkedIn MailTo Tools Icon Tools Get Permissions Search Site Citation Ian W.D. Dalziel; Pacific margins of Laurentia and East Antarctica-Australia as a conjugate rift pair: Evidence and implications for an Eocambrian supercontinent. Geology 1991;; 19 (6): 598–601. doi: https://doi.org/10.1130/0091-7613(1991)019<0598:PMOLAE>2.3.CO;2 Download citation file: Ris (Zotero) Refmanager EasyBib Bookends Mendeley Papers EndNote RefWorks BibTex toolbar search Search Dropdown Menu toolbar search search input Search input auto suggest filter your search All ContentBy SocietyGeology Search Advanced Search Abstract Evidence supports the hypothesis that the Laurentian and East Antarctic-Australian cratons were continuous in the late Precambrian and that their Pacific margins formed as a conjugate rift pair. Both margins extend for approximately 40° of latitude. They have a similar rift history throughout their length—i.e., Late Proterozoic rifting and Early Cambrian carbonate platform development. A geometrically acceptable computer-generated reconstruction for the latest Precambrian juxtaposes and aligns the Grenville front that is truncated at the Pacific margin of Laurentia and a closely comparable tectonic boundary in East Antarctica that is truncated along the Weddell Sea margin. These may prove to be critical, perhaps even unique, ""piercing points"" for relating the northern and southern continents. Geologic and paleomagnetic evidence also suggests that the Atlantic margin of Laurentia rifted from the proto-Andean margin of South America in earliest Cambrian time. Early Phanerozoic sea-floor spreading that isolated Laurentia from South America and East Antarctica-Australia in an Eocambrian supercontinent appears to balance convergence along the Mozambique suture which resulted in final amalgamation of the smaller Gondwana supercontinent at ∼500 Ma. This content is PDF only. Please click on the PDF icon to access. First Page Preview Close Modal You do not have access to this content, please speak to your institutional administrator if you feel you should have access.",Research Paper,https://doi.org/10.1130/0091-7613(1991)019<0598:pmolae>2.3.co;2,OpenAlex,https://openalex.org/W2050120676,https://doi.org/10.1130/0091-7613(1991)019<0598:pmolae>2.3.co;2,1991-01-01,2026-09-18 05:51:34.501941
17,"Rapid and early export of Phaeocystis antarctica blooms in the Ross Sea, Antarctica","",Research Paper,https://doi.org/10.1038/35007061,OpenAlex,https://openalex.org/W1498744338,https://doi.org/10.1038/35007061,2000-04-01,2026-09-18 05:51:34.501953
18,"The sequence, crystal structure determination and refinement of two crystal forms of lipase B from Candida antarctica","",Research Paper,https://doi.org/10.1016/s0969-2126(00)00031-9,OpenAlex,https://openalex.org/W2033495093,https://doi.org/10.1016/s0969-2126(00)00031-9,1994-04-01,2026-09-18 05:51:34.501971
19,"Glacier acceleration and thinning after ice shelf collapse in the Larsen B embayment, Antarctica","Ice velocities derived from five Landsat 7 images acquired between January 2000 and February 2003 show a two‐ to six‐fold increase in centerline speed of four glaciers flowing into the now‐collapsed section of the Larsen B Ice Shelf. Satellite laser altimetry from ICESat indicates the surface of Hektoria Glacier lowered by up to 38 ± 6 m in a six‐month period beginning one year after the break‐up in March 2002. Smaller elevation losses are observed for Crane and Jorum glaciers over a later 5‐month period. Two glaciers south of the collapse area, Flask and Leppard, show little change in speed or elevation. Seasonal variations in speed preceding the large post‐collapse velocity increases suggest that both summer melt percolation and changes in the stress field due to shelf removal play a major role in glacier dynamics.",Research Paper,https://doi.org/10.1029/2004gl020670,OpenAlex,https://openalex.org/W2084481702,https://doi.org/10.1029/2004gl020670,2004-09-01,2026-09-18 05:51:34.501973
