id,title,description,document_type,file_url,source,source_id,doi,publication_date,created_at
21,MEaSUREs BedMachine Antarctica V004,"This data set, part of the NASA Making Earth System Data Records for Use in Research Environments (MEaSUREs) program, contains a bed topography and bathymetry map of Antarctica. Bed topography is deduced by subtracting ice thickness from the surface elevation; using Ice Flow Perturbation Analysis (IFPA); and by other methods. Surface elevations are obtained from the Reference Elevation Model of Antarctica (REMA) and high-resolution satellite maps.
Short name: NSIDC-0756
Version: 4
Data center: NSIDC_CPRD
Archive center: NASA NSIDC DAAC
Organizations: NASA NSIDC DAAC, UC-IRVINE/PHYSSCI/ESS
Platforms: MODELS
Temporal coverage starts: 1970-01-01T00:00:00.000Z
Temporal coverage ends: 2019-10-01T23:59:59.999Z
Spatial coverage: -90 -180 -53 180
NASA CMR Concept ID: C3973022985-NSIDC_CPRD",Dataset,https://search.earthdata.nasa.gov/search/granules?p=C3973022985-NSIDC_CPRD,NASA Earthdata,C3973022985-NSIDC_CPRD,10.5067/POJQI54A45HX,1970-01-01T00:00:00.000Z,2026-09-18 22:47:26.109321
22,"Formation, Transformation, and Northward Spreading of Dense Saline Water Derived from Terra Nova Bay, Ross Sea, Antarctica","Non-Technical Abstract  The deep world ocean is flooded with near 0°C water, drawn from the margins of Antarctica. Antarctic Bottom Water, as it is referred to, is mainly derived from cold water formed the over the continental shelves of the Weddell and Ross Seas, where the coastal water is exposed to frigid polar air masses spreading off the Antarctic ice sheet. Antarctic Bottom Water is a key component of the global ocean overturning system, which is fundamental to the global ocean heat, carbon and nutrient inventories, and hence the climate and marine ecosystem. The processes producing the dense shelf waters involve small scale factors associated with ocean/atmosphere/sea and glacial ice interaction. What is lacking from previous work is a coordinated, synchronous observational study of the seaward spreading, from formation, to export across the continental shelf edge, to its descent into the deep ocean. This work fills the gap, by investigating the characteristics of dense shelf water formed within Terra Nova Bay, Ross Sea, its transformation, modification and northward spreading within the Drygalski Trough in the western Ross Sea, feeding into the spill-over at the continental slope into the deep boundary current adjacent to Cape Adare. The sequence of events will be observed with a series of instrumented moorings along the pathway from Terra Nova Bay, along the Drygalski Trough and onto the boundary current adjacent to Cape Adare.  The project is an international collaboration that involves the USA (this proposal), S. Korea, New Zealand and Italy.      Technical Abstract  The lower kilometer or two of the world ocean is flooded with near 0°C water derived from the Southern Ocean, the Antarctic Bottom Water (AABW). The cold end-member of AABW is formed over various sectors of the continental shelf of Antarctica, notable in the Weddell and Ross Seas.  The governing processes producing the dense shelf waters involve small scale spatial and temporal factors associated with ocean/sea ice interaction, often related to coastal polynyas and katabatic winds, along with further modification by ocean-glacial ice interaction. There have been studies of the formation of dense shelf water, of export of shelf water over the shelf/slope, the descent of gravity currents into the AABW realm, and of flow paths of AABW spreading across the deep ocean well into the northern hemisphere. What is lacking is a coordinated, synchronous observational study of the seaward spreading, from formation of the dense shelf water to its spreading to the shelf/slope break and descent into the deep ocean. This program fills the gap, by investigating the characteristics of dense shelf water formed within Terra Nova Bay (TNB), Ross Sea, its transformation, modification and northward spreading within the Drygalski Trough in the western Ross Sea, feeding into the spill-over at the continental slope and the deep boundary current adjacent to Cape Adare. The team will deploy a series of moorings – two heavily instrumented full water column moorings within TNB to capture high-salinity shelf water (HSSW) production and a series of bottom-focused moorings to evaluate the transformation and northward spreading of the dense saline water.  The broad science goals of the project will be addressed by this program through a coordinated analysis of these mooring measurements.  The project is an international collaboration that involves the USA (this proposal), S. Korea, New Zealand and Italy.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.
Short name: USAP-2332418
Version: 1
Data center: AMD_USAPDC
Archive center: USAP-DC
Organizations: USAP-DC
Temporal coverage starts: 2024-05-15T00:00:00.000Z
Temporal coverage ends: 2029-04-30T23:59:59.999Z
Spatial coverage: -76 163 -71 175
NASA CMR Concept ID: C3544681247-AMD_USAPDC",Dataset,http://www.nsf.gov/awardsearch/showAward.do?AwardNumber=2332418,NASA Earthdata,C3544681247-AMD_USAPDC,,2024-05-15T00:00:00.000Z,2026-09-18 22:47:26.109327
23,"Seasonal Metabolism Changes Across Redox Gradients in Photosynthetic Mats, Lake Fryxell, Antarctica","In the McMurdo Dry Valleys (MDV), the permanently ice-covered lakes are unusual aquatic environments that are home to unique communities of microbes. Mats of photosynthetic microbes grow on the floors of these lakes and are an important part of the ecosystems in MDV environments. They experience extreme seasonality that includes the challenge of months of winter darkness. Mats cannot photosynthesize during winter, but they do remain active, and this can impact their ability to respond when spring/summer conditions arrive. To understand these impacts, it is essential to study the seasonal differences in mat organism activity, particularly during winter and then during the transition to spring sunlight. This project aims to characterize winter season activity and chemistry in benthic microbial mats in Lake Fryxell, McMurdo Dry Valleys, Antarctica. To access winter-like conditions, temporary shades will be installed over mats to “extend” dark winter conditions into spring, when field access is possible. By sampling in extended winter and spring/summer this project will determine the changes in benthic mat community composition, identify interactions between cell activity and water chemistry, and understand the effects of spring photosynthesis initiation on mats that become anoxic over winter.    The permanently ice-covered lakes of the McMurdo Dry Valleys (MDV) are home to unique communities of microbes. Benthic mats of photosynthetic cyanobacteria are present in these lakes and are an important part of the primary productivity for ecosystems in MDV environments. Winter darkness inhibits mat photosynthesis, leading to anoxic conditions, limited viable metabolisms, and changes in mat biogeochemistry. With the return of sunlight photosynthesis begins again and metabolism and biogeochemistry changes. To better understand the interdependencies and impacts of these transitions, the project will characterize seasonal microbial diversity and metabolic differences in benthic mats, and the ecosystem effects caused by spring oxygen production in Lake Fryxell, McMurdo Dry Valleys, Antarctica. To access winter-like conditions, temporary shades will be installed over mats to “extend” dark winter conditions into spring, when field access is possible. The project will characterize the metabolic changes in mat communities using metagenomic and metatranscriptomic methods, in conjunction with pore water dissolved oxygen and sulfide measurements from the environment during the winter/spring transition.    This award reflects NSF''s statutory mission and has been deemed worthy of support through evaluation using the Foundation''s intellectual merit and broader impacts review criteria.
Short name: USAP-2445119
Version: 1
Data center: AMD_USAPDC
Archive center: USAP-DC
Organizations: USAP-DC
Temporal coverage starts: 2025-07-15T00:00:00.000Z
Temporal coverage ends: 2028-06-30T23:59:59.999Z
Spatial coverage: -77.63 163.02 -77.59 163.26
NASA CMR Concept ID: C4270414145-AMD_USAPDC",Dataset,http://www.nsf.gov/awardsearch/showAward.do?AwardNumber=2445119,NASA Earthdata,C4270414145-AMD_USAPDC,,2025-07-15T00:00:00.000Z,2026-09-18 22:47:26.10933
24,"CAREER: A Comprehensive Seismic Investigation to the Crust and Uppermost Mantle Beneath the South Pole, East Antarctica","Nontechnical  Understanding the subsurface structure near the South Pole will answer some of the most exciting scientific questions in Antarctic Earth Science, ranging from the origin of the high subglacial mountains and the southernmost volcanic rocks to the existence of nearby subglacial lakes. However, it has been difficult to answer these questions since the area is remote and the ice cover is thick. Using seismic stations deployed on top of the ice sheet provides an alternative tool to image the continent through the ice, as seismic signals record sensitive information about the geology of the crust below. For example, crustal rocks with more radioactive elements may have caused the ice sheet to melt, creating subglacial lakes, and these rocks can be identified by their unique seismic signatures. This project plans to fill a knowledge gap by deploying new seismic sensors in the South Pole area and collecting data to perform a suite of modern seismic data analyses to produce a variety of seismic observables. These observables will be translated into maps illustrating the physical properties and chemical composition of the underlying crust, and further help determine the thermal properties of the underlying crust near the South Pole. These observations will provide a first-order assessment of the sub-ice geology and insights into the origins of the features such as the Transantarctic Mountains and numerous subglacial lakes.   The project will collaborate with K-12 school districts and community colleges in Long Island and provide  free geoscience tutoring, public lectures, and inviting K-12 educators to teach students from the field. These efforts will highlight the importance of polar geosciences in a changing climate and elevate the awareness of earth science as a viable career path for high school students.     Technical   The area within 300 km of the South Pole and its sub-ice structures are equally, if not more, critical in studying Antarctic earth sciences. Given its gateway locality between the high southern Transantarctic Mountains and East Antarctic craton, the area is critical for studying geological history and modern tectonism of the continent, modeling continental dynamics, and developing more accurate ice sheet dynamic models to predict their response to the global climate change. However, these properties have not been systematically studied due to both the remoteness of the continent and its thick ice coverage. In this proposed study, the team will deploy ~ 180 high-frequency 3-component portable seismic nodes and eight broadband sensors near the South Pole, encompassing the nearby southern Transantarctic Mountains and the polar subglacial basins. A combination of linear nodal arrays and 2-dimensional broadband arrays will provide both spatial coverage and the capability to resolve high-resolution subsurface structural variations. Once the data are collected the team will apply a suite of data processing schemes tailored for the array and study area, including 1) a comprehensive surface wave analysis that determines both the isotropic and anisotropic structure of its crust and uppermost mantle; 2) 2-layer receiver function analysis that measures sub-ice layering and Poisson’s ratio; 3) a joint surface wave and receive function inversion that builds seismic models with uncertainties; 4) a novel crustal compositional analysis which uses the seismic attributes to quantify the silica content of the crust, and 5) a joint Monte Carlo thermal inversion that combines Curie-depth measurements with seismologically constrained crustal heat generation to construct a self-consistent, uniform crustal geotherms. This research is complemented by a comprehensive educational component that provides high-quality earth science education to graduate students, as well as to high-need K-12 school districts and community colleges in Long Island.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.
Short name: USAP-2145410
Version: 1
Data center: AMD_USAPDC
Archive center: USAP-DC
Organizations: USAP-DC
Temporal coverage starts: 2023-07-01T00:00:00.000Z
Temporal coverage ends: 2028-06-30T23:59:59.999Z
Spatial coverage: -90 -180 -60 180
NASA CMR Concept ID: C4270413990-AMD_USAPDC",Dataset,http://www.nsf.gov/awardsearch/showAward.do?AwardNumber=2145410,NASA Earthdata,C4270413990-AMD_USAPDC,,2023-07-01T00:00:00.000Z,2026-09-18 22:47:26.109332
25,"Dynamics of Ocean Turbulence above the Western Weddell Sea Continental Shelf, Antarctica","The ocean beneath Antarctica’s sea ice plays a critical role in Earth’s system and supports unique polar ecosystems, yet it remains one of the least studied parts of the planet. This project focuses on understanding how turbulent mixing in the ocean moves heat, nutrients, and other properties between layers of water. These processes influence the stability of Antarctic ice shelves, the productivity of marine ecosystems, and the ocean’s ability to store heat. By collecting new observations from a rarely visited region in the western Weddell Sea, where thick multi-year sea ice hinders the access of research vessels, this research will improve scientific understanding of how the Antarctic Ocean functions.     The research will quantify turbulence and vertical mixing processes in the western Weddell Sea, a region characterized by dense water formation, thick sea ice cover, and strong ocean currents. Microstructure profilers will be deployed from the German research icebreaker RV Polarstern to collect direct measurements of turbulent kinetic energy dissipation. The study will examine the influence of tides, topography, and wind forcing on mixing rates and evaluate their effects on vertical fluxes of heat and nutrients. Observations will be used to estimate diapycnal diffusivities across a range of environmental conditions, vertical heat and nutrient fluxes. Results from this project are anticipated improve model predictions of ocean–ice interactions and contribute to a better understanding of the Antarctic system.    This award reflects NSF''s statutory mission and has been deemed worthy of support through evaluation using the Foundation''s intellectual merit and broader impacts review criteria.
Short name: USAP-2502192
Version: 1
Data center: AMD_USAPDC
Archive center: USAP-DC
Organizations: USAP-DC
Platforms: R/V POLARSTERN
Temporal coverage starts: 2025-09-01T00:00:00.000Z
Temporal coverage ends: 2027-08-31T23:59:59.999Z
Spatial coverage: -70 -66 -62 -42
NASA CMR Concept ID: C3839055116-AMD_USAPDC",Dataset,http://www.nsf.gov/awardsearch/showAward.do?AwardNumber=2502192,NASA Earthdata,C3839055116-AMD_USAPDC,,2025-09-01T00:00:00.000Z,2026-09-18 22:47:26.109334
26,Collaborative Research: The Drivers and Role of Immigration in the Dynamics of the Largest Population of Weddell Seals in Antarctica under Changing Conditions,"Part 1: Non-technical description  This is a continuation of a long-term population dynamics study (1978-present) using an intensive mark-recapture tagging of Weddell seals in Erebus Bay, Antarctica. Past work has become a global model for population studies of large animals. Results have documented strong annual variation in reproduction, abundance, and population composition. This program will add components to evaluate the demographic role of immigrant mothers, evaluate possible drivers of annual variation in overall population dynamics, assess genetic differences between immigrant and locally born mothers, and document patterns of gene flow among seal colonies in the Ross Sea region. These new aspects will focus on understanding of population structure, function, and genetics and provide key information for predicting how the seal population will respond to environmental change. The addition of genetic approaches will advance available data for multiple groups in multiple countries working on Weddell Seals. This work includes an early career scientists training program for faculty university graduate and undergraduate students and well as a defined program for data sharing. The research is paired with active education and outreach programs, social media, websites, educational resources, videos and high-profile public lecture activities. The informal science education program will expand on the project’s successful efforts at producing and delivering short-form videos that have been viewed over 1.6 million times to date. In addition, the education program will add new topics such as learning about seals using genomics and how seals respond to a changing world to a multimedia-enhanced electronic book about the project’s long-term research on Weddell seals, which will be freely available to the public early in the project.    Part 2: Technical description   Reliable predictions are needed for how populations of wild species, especially those at high latitudes, will respond to future environmental conditions. This study will use a strategic extension of the long-term demographic research program that has been conducted annually on the Erebus Bay population of Weddell seals since 1978 to help meet that need. Recent analyses of the study population indicate strong annual variation in reproduction, abundance, and population composition. The number of new immigrant mothers that join the population each year has recently grown such that most new mothers are now immigrants. Despite the growing number of immigrants, the demographic importance and geographic origins of immigrants are unknown. The research will (1) add new information on drivers of annual variation in immigrant numbers, (2) compare and combine information on the vital rates and demographic role of immigrant females and their offspring with that of locally born females, and (3) add genomic analyses that will quantify levels of genetic variation in and gene flow among the study population and other populations in the Ross Sea. The project will continue the long-term monitoring of the population at Erebus Bay and characterize population dynamics and the role of immigration using a combination of mark-recapture analyses, stochastic population modeling, and genomic analyses. The study will continue to provide detailed data on individual seals to other science teams, educate and mentor individuals in the next generation of ecologists, introduce two early-career, female scientists to Antarctic research, and add genomics approaches to the long-term population study of Erebus Bay Weddell seals. The research will be complemented with a robust program of training and an informal science education program.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.
Short name: USAP-2147553
Version: 1
Data center: AMD_USAPDC
Archive center: USAP-DC
Organizations: USAP-DC
Temporal coverage starts: 2022-07-15T00:00:00.000Z
Temporal coverage ends: 2027-06-30T23:59:59.999Z
Spatial coverage: -78.4 162 -74.95 170
NASA CMR Concept ID: C3843360043-AMD_USAPDC",Dataset,http://www.nsf.gov/awardsearch/showAward.do?AwardNumber=2147553,NASA Earthdata,C3843360043-AMD_USAPDC,,2022-07-15T00:00:00.000Z,2026-09-18 22:47:26.109336
27,Investigating Effects of Transient and Non-Newtonian Mantle Viscosity on Glacial Isostatic Adjustment Process and their Implications for GPS Observations in Antarctica,"Satellite observations of Earth?s surface gravity and elevation changes indicate rapid melting of ice sheets in recent decades in northern Antarctica Peninsula and Amundsen Sea Embayment of West Antarctica. This rapid melting may lead to significant global sea level rise which is a major societal concern. Measurements from the Global Positioning System (GPS) show rapid land uplift in these regions as the ice sheets melt. When an ice sheet melts, the melt water flows to oceans, causing global sea level to rise. However, the sea level change at a given geographic location is also influenced by two other factors associated with the ice melting process: 1) the vertical motion of the land and 2) gravitational attraction. The vertical motion of the land is caused by the change of pressure force on the surface of the solid Earth. For example, the removal of ice mass reduces the pressure force on the land, leading to uplift of the land below the ice sheet, while the addition of water in oceans increases the pressure force on the seafloor, causing it to subside. The sea level always follows the equipotential surface of the gravity which changes as the mass on the Earth?s surface (e.g., the ice and water) or/and in its interiors (e.g., at the crust-mantle boundary) is redistributed. Additionally, the vertical motion of the land below an ice sheet has important effects on the evolution and stability of the ice sheet and may determine whether the ice sheet will rapidly collapse or gradually stabilize. The main goal of this project is to build an accurate and efficient computer model to study the displacement and deformation of the Antarctic crust and mantle in response to recent ice melting. The project will significantly improve existing and publicly available computer code, CitcomSVE. The horizontal and vertical components of the Earth?s surface displacement depends on mantle viscosity and elastic properties of the Earth. Although seismic imaging studies demonstrate that the Antarctica mantle is heterogeneous, most studies on the ice-melting induced deformation in Antarctica have assumed that mantle viscosity and elastic properties only vary with the depth due to computational limitations. In this project, the new computational method in CitcomSVE avoids such assumptions and makes it possible to include realistic 3-D mantle viscosity and elastic properties in computing the Antarctica crustal and mantle displacement. This project will interpret the GPS measurements of the surface displacements in northern Antarctica Peninsula and Amundsen Sea Embayment of West Antarctica and use the observations to place constraints on mantle viscosity and deformation mechanisms. The project will also seek to predict the future land displacement Antarctica, which will lead to a better understand of Antarctica ice sheets. Finally, the project has direct implications for the study of global sea level change and the dynamics of the Greenland ice sheet.  Technical Description Glacial isostatic adjustment (GIA) is important for understanding not only fundamental science questions including mantle viscosity, mantle convection and lithospheric deformation but also societally important questions of global sea-level change, polar ice melting, climate change, and groundwater hydrology. Studies of rock deformation in laboratory experiments, post-seismic deformation, and mantle dynamics indicate that mantle viscosity is temperature- and stress-dependent. Although the effects of stress-dependent (i.e., non-Newtonian) viscosity and transient creep rheology on GIA process have been studied, observational evidence remains elusive. There has been significant ice mass loss in recent decades in northern Antarctica Peninsula (NAP) and Amundsen Sea Embayment (ASE) of West Antarctica. The ice mass loss has caused rapid bedrock uplift as measured by GPS techniques which require surprisingly small upper mantle viscosity of ~1018 Pas. The rapid uplifts may have important feedback effects on ongoing ice melting because of their influence on grounding line migration, and the inferred small viscosity may have implications for mantle rheology and deformation on decadal time scales. The main objective of the project is to test hypotheses that the GPS observations in NAP and ASE regions are controlled by 3-D non-Newtonian or/and transient creep viscosity by developing new GIA modeling capability based on finite element package CitcomSVE. The project will carry out the following three tasks: Task 1 is to build GIA models for the NAP and ASE regions to examine the effects of 3-D temperature-dependent mantle viscosity on the surface displacements and to test hypothesis that the 3-D mantle viscosity improves the fit to the GPS observations. Task 2 is to test the hypothesis that non-Newtonian or/and transient creep rheology controls GIA process on decadal time scales by computing GIA models and comparing model predictions with GPS observations for the NAP and ASE regions. Task 3 is to implement transient creep (i.e., Burgers model) rheology into finite element package CitcomSVE for modeling the GIA process on global and regional scales and to make the package publicly available to the scientific community. The project will develop the first numerical GIA model with Burgers transient rheology and use the models to examine the effects of 3-D temperature-dependent viscosity, non-Newtonian viscosity and transient rheology on GIA-induced surface displacements in Antarctica. The project will model the unique GPS observations of unusually large displacement rates in the NAP and ASE regions to place constraints on mantle rheology and to distinguish between 3-D temperature-dependent, non-Newtonian and transient mantle viscosity. The project will expand the capability of the publicly available software package CitcomSVE for modeling viscoelastic deformation and tidal deformation on global and regional scales. The project will advance our understanding in lithospheric deformation and mantle rheology on decadal time scales, which helps predict grounding line migration and understand ice sheet stability in West Antarctica. The project will strengthen the open science practice by improving the publicly available code CitcomSVE at github.
Short name: USAP-2333940
Version: 1
Data center: AMD_USAPDC
Archive center: USAP-DC
Organizations: USAP-DC
Platforms: COMPUTERS
Temporal coverage starts: 2024-01-01T00:00:00.000Z
Temporal coverage ends: 2026-12-31T23:59:59.999Z
Spatial coverage: -90 -180 -60 180
NASA CMR Concept ID: C2837691643-AMD_USAPDC",Dataset,http://www.nsf.gov/awardsearch/showAward.do?AwardNumber=2333940,NASA Earthdata,C2837691643-AMD_USAPDC,,2024-01-01T00:00:00.000Z,2026-09-18 22:47:26.109338
28,Antarctica as a Model System for Responses of Terrestrial Carbon Balance to Warming,"Part I: Non-technical description:  Earth’s terrestrial ecosystems have the potential to either slow down or hasten the pace of climate change. The direction depends in part on both plant and microbial responses to warming. This study uses Antarctica as a model ecosystem to study the carbon balance of a simplified ecosystem (simplified compared to terrestrial ecosystems elsewhere) in response to a warming treatment. Carbon balance is dictated by sequestered carbon (through photosynthesis) and released carbon (plant and microbial respiration). Hence, to best assess plant and microbial responses to warming, this study uses a plant gradient that starts at the glacier (no plants, only soil microbes) to an old site entirely covered by plants. Experimental warming in the field is achieved by open-top chambers that warm the air and soil inside. The net ecosystem carbon exchange, the net result of sequestered and released carbon, will be measured in warmed and control plots with a state-of-the art gas exchange machine. Laboratory temperature incubation studies will supplement field work to attribute changes in carbon fluxes to individual plant species and soil microbial taxa (i.e., “species”). Data from this study will feed into earth system climate change models. The importance of this study will be shared with the broader community through the production of a video series created by an award-winning science media production company, an Antarctic blog, and through interactions with schools in the United States (on-site through Skype and in-person visits).     Part II: Technical description:  Responses of the carbon balance of terrestrial ecosystems to warming will feed back to the pace of climate change, but the size and direction of this feedback are poorly constrained. Least known are the effects of warming on carbon losses from soil, and clarifying the major microbial controls is an important research frontier. This study uses a series of experiments and observations to investigate microbial, including autotrophic taxa, and plant controls of net ecosystem productivity in response to warming in intact ecosystems. Field warming is achieved using open-top chambers paired with control plots, arrayed along a productivity gradient. Along this gradient, incoming and outgoing carbon fluxes will be measured at the ecosystem-level. The goal is to tie warming-induced shifts in net ecosystem carbon balance to warming effects on soil microbes and plants. The field study will be supplemented with lab temperature incubations. Because soil microbes dominate biogeochemical cycles in Antarctica, a major focus of this study is to determine warming responses of bacteria, fungi and archaea. This is achieved using a cutting-edge stable isotope technique, quantitative stable isotope probing (qSIP) developed by the proposing research team, that can identify the taxa that are active and involved in processing new carbon. This technique can identify individual microbial taxa that are actively participating in biogeochemical cycling of nutrients (through combined use of 18O-water and 13C-bicarbonate) and thus can be distinguished from those that are simply present (cold-preserved). The study further assesses photosynthetic uptake of carbon by the vegetation and their sensitivity to warming. Results will advance research in climate change, plant and soil microbial ecology, and ecosystem modeling. Science communication will be achieved through an informative video series, a daily Antarctic blog, and online- and in-person visits to schools in the United States.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.
Short name: USAP-1947562
Version: 1
Data center: AMD_USAPDC
Archive center: USAP-DC
Organizations: USAP-DC
Platforms: FIELD SURVEYS
Temporal coverage starts: 2022-01-01T00:00:00.000Z
Temporal coverage ends: 2026-12-31T23:59:59.999Z
Spatial coverage: -65 -65 -64.5 -63
NASA CMR Concept ID: C3843360086-AMD_USAPDC",Dataset,http://www.nsf.gov/awardsearch/showAward.do?AwardNumber=1947562,NASA Earthdata,C3843360086-AMD_USAPDC,,2022-01-01T00:00:00.000Z,2026-09-18 22:47:26.10934
29,EAGER: Pedogenic Carbonates Record Insolation Driven Surface Melting in Antarctica,"Non-technical abstract    Earth’s climatic changes have been recorded in the ice core collected from the Antarctic ice sheet.  While these records provide a high resolution view of how polar temperatures changed through time, it is not always clear what Earth process influence Antarctic climate. One likely contributor to Antarctic temperature changes is the cyclic changes in Earth’s orientation as it orbits the sun. These so-called Milankovitch cycles control the amount and pattern of sunlight reaching the polar regions, that in turn result in periods of climatic warming or cooling. While the orbital variations and control on incoming solar energy remain well understood, how they influence Antarctic climate remains unresolved. It is the goal of this project to determine how variations in Earth’s orbit may be locally influencing Antarctic temperatures. The researchers on this project are pursing this goal by identifying periods of past ice melting on the surface of Antarctica using minerals that precipitate from the meltwaters that resulted from past warm periods.  The timing of this past melting will be determined by radioisotopic dating of the minerals using the natural radioactive decay of uranium to thorium. By dating numerous samples, collected in past scientific expeditions throughout the Antarctic continent, these researchers aim to reconstruct the frequency and spatial pattern of past warming and in doing so,  determine what aspect of Earth’s orbital variations influences Antarctic ice loss.    Technical abstract    Antarctic ice cores provide high resolution records of Pleistocene Southern Hemisphere temperatures that show an overall coherence with Northern Hemisphere temperature variations. One explanation for this bi-hemispheric temperature covariance relies on changes in atmospheric CO2 that result from varying northern hemisphere insolation. An alternative posits that the apparent coherence of polar temperatures is due to the misleading covariance between northern hemisphere summer insolation and, the southern hemisphere summer duration.  At present there is an insufficient understanding of the role that local insolation plays in Antarctic climate. The goal of this research project is to identify the temporal spatial patterns of solar forcing in Antarctica. To reach this goal, the project team will: 1) develop a way to identify periods of past surface melt production in Antarctica using U-Th dating of pedogenic carbonates; and 2) utilize the evidence of past surface melting to calibrate energy balance models and interrogate past Antarctic surface temperatures and; 3) compare the timing of Antarctic warm periods to potential solar forcing mechanisms such as peak summer insolation or summer duration. A means of identifying the spatial and temporal pattern at which local insolation influences Antarctic temperature would provide a transformative solution to the contradiction in current climate records.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.
Short name: USAP-2423761
Version: 1
Data center: AMD_USAPDC
Archive center: USAP-DC
Organizations: USAP-DC
Temporal coverage starts: 2024-10-01T00:00:00.000Z
Temporal coverage ends: 2026-09-30T23:59:59.999Z
Spatial coverage: -90 -180 -60 180
NASA CMR Concept ID: C3544680896-AMD_USAPDC",Dataset,http://www.nsf.gov/awardsearch/showAward.do?AwardNumber=2423761,NASA Earthdata,C3544680896-AMD_USAPDC,,2024-10-01T00:00:00.000Z,2026-09-18 22:47:26.109342
30,Tellus Level-4 Antarctica Mass Anomaly Time Series from JPL GRACE/GRACE-FO Mascon CRI Filtered Release 06.3 version 04,"This dataset is a time series of mass variability averaged over all of Antarctica. It provides the ice mass changes of Antarctica over time. The mass variability are derived from JPL GRACE Mascon Ocean, Ice, and Hydrology Equivalent Water Height CRI Filtered RL063Mv04 dataset, which can be found at https://doi.org/10.5067/TEMSC-3JC634. A more detailed description on the Mascon solution, including the mathematical derivation, implementation of geophysical constraints, and solution validation, please see Watkins et al., 2015, doi: 10.1002/2014JB011547. The mass variability are provided as an ASCII table.
Short name: ANTARCTICA_MASS_TELLUS_MASCON_CRI_TIME_SERIES_RL06.3_V4
Version: RL06.3Mv04
Data center: POCLOUD
Archive center: NASA/JPL/PODAAC
Organizations: NASA/JPL/PODAAC, NASA/JPL/GRACE-TELLUS-0001
Platforms: GRACE, GRACE-FO
Temporal coverage starts: 2002-04-01T00:00:00.000Z
Spatial coverage: -90 -180 90 180
NASA CMR Concept ID: C3206284786-POCLOUD",Dataset,https://search.earthdata.nasa.gov/search/granules?p=C3206284786-POCLOUD,NASA Earthdata,C3206284786-POCLOUD,,2002-04-01T00:00:00.000Z,2026-09-18 22:47:26.109344
